OBJECTID,DESCRIPTION,ID,ECYCDOOWCO,ECYCDOOWCO_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
391,"J7X (Salaberry-De-Valleyfield, QC)",J7X,253,9.59,9.59,64920487.0,46286.99583260664,1753800246314,Synapse54,1753800246314,Synapse54
392,"J7Y (Saint-Jerome, QC)",J7Y,1351,9.57,9.57,50087471.02734375,55705.64280837206,1753800246314,Synapse54,1753800246314,Synapse54
393,"J7Z (Saint-Jerome, QC)",J7Z,1069,6.87,6.87,36942944.47265625,33700.08035698858,1753800246314,Synapse54,1753800246314,Synapse54
394,"J8A (Saint-Hippolyte, QC)",J8A,39,0.76,0.76,272351866.0,88660.25650248205,1753800246314,Synapse54,1753800246314,Synapse54
395,"J8B (Sainte-Adele, QC)",J8B,313,4.3,4.3,257661278.5,87331.95722532229,1753800246314,Synapse54,1753800246314,Synapse54
396,"J8C (Sainte-Agathe-Des-Monts, QC)",J8C,185,3.0,3.0,363538345.5,105828.83702167151,1753800246314,Synapse54,1753800246314,Synapse54
397,"J8E (Mont-Tremblant, QC)",J8E,257,4.28,4.28,598027685.5,128502.35538817226,1753800246314,Synapse54,1753800246314,Synapse54
398,"J8G (Brownsburg-Chatham, QC)",J8G,43,1.06,1.06,1206240278.5,237511.8555793957,1753800246314,Synapse54,1753800246314,Synapse54
399,"J8H (Lachute, QC)",J8H,53,0.69,0.69,482502118.5,169179.8899596451,1753800246314,Synapse54,1753800246314,Synapse54
400,"J8L (Gatineau, QC)",J8L,253,2.78,2.78,1293058071.0,172060.6388984216,1753800246314,Synapse54,1753800246314,Synapse54
401,"J8M (Gatineau, QC)",J8M,219,3.93,3.93,154732777.5,65024.547084615566,1753800246314,Synapse54,1753800246314,Synapse54
402,"J8N (Val-Des-Monts, QC)",J8N,139,2.22,2.22,1732302854.5,285589.92276472907,1753800246314,Synapse54,1753800246314,Synapse54
403,"J8P (Gatineau, QC)",J8P,747,4.63,4.63,58693548.0,43657.291681754716,1753800246314,Synapse54,1753800246314,Synapse54
404,"J8R (Gatineau, QC)",J8R,520,4.52,4.52,156666056.5,68675.20266685543,1753800246314,Synapse54,1753800246314,Synapse54
405,"J8T (Gatineau, QC)",J8T,1529,8.37,8.37,47793402.0,43358.360078022946,1753800246314,Synapse54,1753800246314,Synapse54
406,"J8V (Gatineau, QC)",J8V,794,7.44,7.44,324712509.0,103708.66049045212,1753800246314,Synapse54,1753800246314,Synapse54
407,"J8X (Gatineau, QC)",J8X,417,6.17,6.17,14811708.0,18647.21034649298,1753800246314,Synapse54,1753800246314,Synapse54
408,"J8Y (Gatineau, QC)",J8Y,552,4.31,4.31,19695262.5,21673.890152602384,1753800246314,Synapse54,1753800246314,Synapse54
409,"J8Z (Gatineau, QC)",J8Z,735,10.49,10.49,23130629.5,26602.970961144994,1753800246314,Synapse54,1753800246314,Synapse54
410,"J9A (Gatineau, QC)",J9A,1682,16.15,16.15,30373310.5,26686.619129442304,1753800246314,Synapse54,1753800246314,Synapse54
411,"J9B (Chelsea, QC)",J9B,36,1.07,1.07,246189543.5,86816.99350066783,1753800246314,Synapse54,1753800246314,Synapse54
412,"J9E (Maniwaki, QC)",J9E,54,1.41,1.41,1377109169.5,310831.3640939274,1753800246314,Synapse54,1753800246314,Synapse54
413,"J9H (Gatineau, QC)",J9H,1299,9.26,9.26,62556078.0,44664.06309859117,1753800246314,Synapse54,1753800246314,Synapse54
414,"J9J (Gatineau, QC)",J9J,2081,11.96,11.96,151255466.5,58327.94180700536,1753800246314,Synapse54,1753800246314,Synapse54
415,"J9L (Mont-Laurier, QC)",J9L,122,1.72,1.72,1339338847.0,180384.92529711727,1753800246314,Synapse54,1753800246314,Synapse54
416,"J9P (Val-D'or, QC)",J9P,244,1.51,1.51,3829796876.0,458548.2575127482,1753800246314,Synapse54,1753800246314,Synapse54
417,"J9T (Amos, QC)",J9T,42,0.68,0.68,683602510.0,189908.9748917051,1753800246314,Synapse54,1753800246314,Synapse54
418,"J9V (Rouyn-Noranda, QC)",J9V,23,1.34,1.34,297071822.0,76817.77391779536,1753800246314,Synapse54,1753800246314,Synapse54
419,"J9X (Rouyn-Noranda, QC)",J9X,348,2.89,2.89,301651162.0,120674.85661136823,1753800246314,Synapse54,1753800246314,Synapse54
420,"J9Y (Rouyn-Noranda, QC)",J9Y,50,1.1,1.1,2199066233.0,465878.96082864003,1753800246314,Synapse54,1753800246314,Synapse54
421,"J9Z (La Sarre, QC)",J9Z,78,2.22,2.22,348212296.0,88902.99107383726,1753800246314,Synapse54,1753800246314,Synapse54
